Año,Precio al Cierre de 12 Meses,-------,Valor de Inversión (USD),Unidades Compradas,Valor Cripto,ROI,ROI en USD,------,Valor de Inversión (USD)2,Unidades Compradas2,Valor Cripto2,ROI2,ROI en USD2,Cryptocurrency
2021,264.02,---,12000,38.98,10291.5,-14.24,-1708.5,---,0,0.0,0.0,0.0,0.0,Aave
2022,52.57,---,12000,132.84,6983.4,-41.81,-5016.6,---,0,0.0,0.0,0.0,0.0,Aave
2023,67.44,---,8000,112.51,7587.67,-5.15,-412.33,---,0,0.0,0.0,0.0,0.0,Aave
2020,0.34,---,12000,45016.74,15305.69,27.55,3305.69,---,12000,45016.74,15305.69,27.55,3305.69,Algorand
2021,1.73,---,12000,10709.48,18527.4,54.4,6527.4,---,12000,10709.48,18527.4,54.4,6527.4,Algorand
2022,0.17,---,12000,32648.72,5550.28,-53.75,-6449.72,---,0,0.0,0.0,0.0,0.0,Algorand
2023,0.11,---,8000,51098.03,5620.78,-29.74,-2379.22,---,0,0.0,0.0,0.0,0.0,Algorand
2021,101.54,---,12000,487.26,49476.38,312.3,37476.38,---,12000,487.26,49476.38,312.3,37476.38,Avalanche
2022,10.87,---,12000,524.7,5703.49,-52.47,-6296.51,---,0,0.0,0.0,0.0,0.0,Avalanche
2023,12.63,---,8000,525.09,6631.89,-17.1,-1368.11,---,0,0.0,0.0,0.0,0.0,Avalanche
2018,5.89,---,12000,1226.27,7222.73,-39.81,-4777.27,---,0,0.0,0.0,0.0,0.0,Binance Coin
2019,13.85,---,12000,762.22,10556.75,-12.03,-1443.25,---,0,0.0,0.0,0.0,0.0,Binance Coin
2020,38.15,---,12000,588.59,22454.71,87.12,10454.71,---,36000,2577.08,98315.6,173.1,62315.6,Binance Coin
2021,518.37,---,12000,51.53,26711.61,122.6,14711.61,---,12000,51.53,26711.61,122.6,14711.61,Binance Coin
2022,245.84,---,12000,39.06,9602.51,-19.98,-2397.49,---,0,0.0,0.0,0.0,0.0,Binance Coin
2023,244.01,---,8000,28.51,6956.73,-13.04,-1043.27,---,0,0.0,0.0,0.0,0.0,Binance Coin
2013,755.16,---,9000,56.71,42825.12,375.83,33825.12,---,9000,56.71,42825.12,375.83,33825.12,Bitcoin
2014,317.38,---,12000,25.75,8172.54,-31.9,-3827.46,---,0,0.0,0.0,0.0,0.0,Bitcoin
2015,431.14,---,12000,45.31,19534.95,62.79,7534.95,---,24000,71.06,30636.81,27.65,6636.81,Bitcoin
2016,966.57,---,12000,21.84,21109.89,75.92,9109.89,---,12000,21.84,21109.89,75.92,9109.89,Bitcoin
2017,14839.59,---,12000,5.49,81469.35,578.91,69469.35,---,12000,5.49,81469.35,578.91,69469.35,Bitcoin
2018,3809.73,---,12000,1.8,6857.51,-42.85,-5142.49,---,0,0.0,0.0,0.0,0.0,Bitcoin
2019,7240.43,---,12000,1.88,13612.01,13.43,1612.01,---,24000,3.68,26644.78,11.02,2644.78,Bitcoin
2020,28837.29,---,12000,1.13,32586.14,171.55,20586.14,---,12000,1.13,32586.14,171.55,20586.14,Bitcoin
2021,47191.87,---,12000,0.27,12741.8,6.18,741.8,---,12000,0.27,12741.8,6.18,741.8,Bitcoin
2022,16604.02,---,12000,0.5,8302.01,-30.82,-3697.99,---,0,0.0,0.0,0.0,0.0,Bitcoin
2023,29585.49,---,8000,0.28,8283.94,3.55,283.94,---,20000,0.78,23076.68,15.38,3076.68,Bitcoin
2018,0.3,---,12000,35035.84,10510.75,-12.41,-1489.25,---,0,0.0,0.0,0.0,0.0,Chainlink
2019,1.82,---,12000,13264.14,24140.73,101.17,12140.73,---,24000,48299.98,87905.96,266.27,63905.96,Chainlink
2020,11.27,---,12000,2312.26,26059.17,117.16,14059.17,---,12000,2312.26,26059.17,117.16,14059.17,Chainlink
2021,19.95,---,12000,484.35,9662.78,-19.48,-2337.22,---,0,0.0,0.0,0.0,0.0,Chainlink
2022,5.47,---,12000,1420.79,7771.72,-35.24,-4228.28,---,0,0.0,0.0,0.0,0.0,Chainlink
2023,7.7,---,8000,1142.41,8796.56,9.96,796.56,---,0,0.0,0.0,0.0,0.0,Chainlink
2016,8.01,---,12000,1519.59,12171.92,1.43,171.92,---,12000,1519.59,12171.92,1.43,171.92,Ethereum
2017,774.7,---,12000,215.37,166847.14,1290.39,154847.14,---,12000,215.37,166847.14,1290.39,154847.14,Ethereum
2018,137.63,---,12000,41.05,5649.71,-52.92,-6350.29,---,0,0.0,0.0,0.0,0.0,Ethereum
2019,131.46,---,12000,73.35,9642.59,-19.65,-2357.41,---,0,0.0,0.0,0.0,0.0,Ethereum
2020,752.86,---,12000,44.28,33336.64,177.81,21336.64,---,36000,158.68,119463.82,231.84,83463.82,Ethereum
2021,3714.95,---,12000,4.98,18500.45,54.17,6500.45,---,12000,4.98,18500.45,54.17,6500.45,Ethereum
2022,1199.11,---,12000,7.1,8513.68,-29.05,-3486.32,---,0,0.0,0.0,0.0,0.0,Ethereum
2023,1855.89,---,8000,4.48,8314.39,3.93,314.39,---,20000,11.58,21491.21,7.46,1491.21,Ethereum
2021,27.54,---,12000,483.19,13307.05,10.89,1307.05,---,12000,483.19,13307.05,10.89,1307.05,Polkadot
2022,4.32,---,12000,1447.54,6253.37,-47.89,-5746.63,---,0,0.0,0.0,0.0,0.0,Polkadot
2023,5.06,---,8000,1417.04,7170.22,-10.37,-829.78,---,0,0.0,0.0,0.0,0.0,Polkadot
2020,0.02,---,12000,683333.33,13666.67,13.89,1666.67,---,12000,683333.33,13666.67,13.89,1666.67,Polygon
2021,2.55,---,12000,39326.55,100282.7,735.69,88282.7,---,12000,39326.55,100282.7,735.69,88282.7,Polygon
2022,0.76,---,12000,13514.1,10270.72,-14.41,-1729.28,---,0,0.0,0.0,0.0,0.0,Polygon
2023,0.69,---,8000,9249.73,6382.31,-20.22,-1617.69,---,0,0.0,0.0,0.0,0.0,Polygon
2021,172.51,---,12000,515.04,88849.55,640.41,76849.55,---,12000,515.04,88849.55,640.41,76849.55,Solana
2022,9.89,---,12000,382.36,3781.54,-68.49,-8218.46,---,0,0.0,0.0,0.0,0.0,Solana
2023,24.38,---,8000,362.49,8837.51,10.47,837.51,---,0,0.0,0.0,0.0,0.0,Solana
